date,open,high,low,close,val,closing_range,chg
2024-04-11,1405.65 ,1406.77 ,1395.31 ,1396.38 ,42952347.00 ,9.34%,-0.84%
2024-04-17,1378.04 ,1380.12 ,1363.49 ,1366.94 ,62382106.00 ,20.75%,-2.11%
2024-04-18,1368.20 ,1372.99 ,1349.00 ,1361.02 ,53907545.00 ,50.10%,-0.43%
2024-04-19,1340.99 ,1342.83 ,1330.55 ,1332.08 ,57473636.00 ,12.46%,-2.13%
2024-04-22,1344.24 ,1350.67 ,1340.29 ,1349.52 ,43079010.00 ,88.92%,1.31%
2024-04-23,1355.00 ,1362.52 ,1353.51 ,1357.46 ,46622773.00 ,43.84%,0.59%
2024-04-24,1364.72 ,1364.91 ,1355.44 ,1361.10 ,38497145.00 ,59.77%,0.27%
2024-04-25,1358.70 ,1365.78 ,1356.96 ,1364.27 ,41433970.00 ,82.88%,0.23%
2024-04-26,1364.95 ,1366.24 ,1358.36 ,1359.94 ,39996572.00 ,20.05%,-0.32%
2024-04-29,1364.18 ,1364.18 ,1355.77 ,1361.97 ,36381379.00 ,73.72%,0.15%
2024-04-30,1364.55 ,1372.61 ,1363.54 ,1367.95 ,44777532.00 ,48.62%,0.44%
2024-05-02,1368.24 ,1372.01 ,1362.84 ,1363.25 ,48883089.00 ,4.47%,-0.34%
2024-05-03,1367.28 ,1372.72 ,1364.26 ,1369.92 ,37509664.00 ,66.90%,0.49%
2024-05-07,1374.10 ,1384.74 ,1373.98 ,1376.37 ,41707490.00 ,22.21%,0.47%
2024-05-08,1377.81 ,1379.04 ,1372.86 ,1373.33 ,42067709.00 ,7.61%,-0.22%
2024-05-09,1374.40 ,1379.75 ,1367.88 ,1369.29 ,39857807.00 ,11.88%,-0.29%
2024-05-10,1371.30 ,1372.32 ,1365.92 ,1371.90 ,36361118.00 ,93.44%,0.19%
2024-05-13,1371.90 ,1375.14 ,1366.06 ,1372.50 ,45517111.00 ,70.93%,0.04%
2024-05-14,1373.55 ,1380.19 ,1373.06 ,1376.57 ,42874885.00 ,49.23%,0.30%
2024-05-15,1377.57 ,1378.36 ,1366.85 ,1370.44 ,49685461.00 ,31.19%,-0.45%
2024-05-16,1375.02 ,1383.38 ,1373.64 ,1377.72 ,51462625.00 ,41.89%,0.53%
2024-05-17,1378.60 ,1384.82 ,1376.79 ,1382.68 ,40241226.00 ,73.35%,0.36%
2024-05-20,1385.16 ,1389.12 ,1377.60 ,1378.70 ,43981261.00 ,9.55%,-0.29%
2024-05-21,1376.92 ,1376.94 ,1367.14 ,1370.83 ,38384790.00 ,37.65%,-0.57%
2024-05-23,1368.24 ,1374.04 ,1364.31 ,1367.84 ,46236174.00 ,36.28%,-0.22%
2024-05-24,1364.16 ,1365.95 ,1359.77 ,1364.48 ,35778605.00 ,76.21%,-0.25%
2024-05-27,1367.27 ,1369.33 ,1362.51 ,1366.37 ,34608593.00 ,56.60%,0.14%
2024-05-28,1368.14 ,1368.95 ,1361.27 ,1362.70 ,33875151.00 ,18.62%,-0.27%
2024-05-29,1360.58 ,1363.96 ,1349.83 ,1349.83 ,44092795.00 ,0.00%,-0.94%
2024-05-30,1347.04 ,1353.29 ,1341.86 ,1351.52 ,43759588.00 ,84.51%,0.13%
2024-05-31,1353.94 ,1359.25 ,1342.62 ,1345.66 ,74764554.00 ,18.28%,-0.43%
2024-06-04,1350.90 ,1354.75 ,1336.07 ,1337.32 ,45875285.00 ,6.69%,-0.62%
2024-06-05,1339.58 ,1344.36 ,1334.12 ,1338.32 ,38331105.00 ,41.02%,0.07%
2024-06-06,1341.74 ,1344.48 ,1325.71 ,1328.41 ,45540075.00 ,14.38%,-0.74%
2024-06-07,1327.30 ,1334.12 ,1325.95 ,1332.74 ,40269659.00 ,83.11%,0.33%
2024-06-10,1328.90 ,1329.81 ,1313.26 ,1318.57 ,38256830.00 ,32.08%,-1.06%
2024-06-11,1318.68 ,1325.52 ,1314.35 ,1316.10 ,45308987.00 ,15.67%,-0.19%
2024-06-12,1316.62 ,1320.51 ,1311.04 ,1316.69 ,46505883.00 ,59.66%,0.04%
2024-06-13,1320.59 ,1323.33 ,1310.80 ,1311.78 ,38242242.00 ,7.82%,-0.37%
2024-06-14,1311.38 ,1315.70 ,1304.31 ,1306.56 ,38608951.00 ,19.75%,-0.40%
2024-06-17,1305.13 ,1305.20 ,1288.58 ,1296.59 ,40649583.00 ,48.19%,-0.76%
2024-06-18,1300.21 ,1310.60 ,1296.23 ,1297.41 ,38015400.00 ,8.21%,0.06%
2024-06-19,1302.47 ,1303.82 ,1282.01 ,1303.82 ,63022295.00 ,100.00%,0.49%
2024-06-20,1302.45 ,1304.24 ,1293.88 ,1298.29 ,37885465.00 ,42.57%,-0.42%
2024-06-21,1295.10 ,1311.31 ,1289.21 ,1306.41 ,37885465.00 ,77.83%,0.63%
2024-06-24,1302.62 ,1317.63 ,1300.36 ,1316.73 ,38354237.00 ,94.79%,0.79%
2024-06-25,1318.18 ,1323.73 ,1315.64 ,1319.14 ,39344667.00 ,43.26%,0.18%
2024-06-26,1322.72 ,1324.47 ,1315.50 ,1319.15 ,35019600.00 ,40.69%,0.00%
2024-06-27,1315.61 ,1316.57 ,1307.67 ,1309.46 ,34140713.00 ,20.11%,-0.73%
2024-06-28,1311.42 ,1311.42 ,1296.89 ,1300.96 ,54526189.00 ,28.01%,-0.65%
2024-07-01,1301.96 ,1306.28 ,1296.11 ,1299.35 ,29731343.00 ,31.86%,-0.12%
2024-07-02,1297.48 ,1297.85 ,1286.83 ,1288.58 ,29731343.00 ,15.88%,-0.83%
2024-07-03,1289.57 ,1296.01 ,1286.79 ,1294.70 ,37591357.00 ,85.79%,0.47%
2024-07-04,1300.62 ,1309.46 ,1300.26 ,1301.04 ,29670022.00 ,8.48%,0.49%
2024-07-05,1303.06 ,1312.53 ,1298.62 ,1311.99 ,32907922.00 ,96.12%,0.84%
2024-07-08,1311.70 ,1322.50 ,1311.70 ,1322.50 ,31297056.00 ,100.00%,0.80%
2024-07-09,1323.81 ,1325.18 ,1317.02 ,1319.92 ,38111141.00 ,35.54%,-0.20%
2024-07-10,1320.68 ,1326.94 ,1318.95 ,1323.28 ,34210338.00 ,54.19%,0.25%
2024-07-11,1326.20 ,1330.01 ,1320.00 ,1329.37 ,40295802.00 ,93.61%,0.46%
2024-07-12,1327.78 ,1332.76 ,1325.64 ,1332.04 ,37589861.00 ,89.89%,0.20%
2024-07-15,1326.06 ,1328.29 ,1320.56 ,1327.43 ,33603985.00 ,88.87%,-0.35%
2024-07-16,1327.77 ,1330.84 ,1320.08 ,1321.31 ,36028796.00 ,11.43%,-0.46%
2024-07-17,1325.39 ,1330.22 ,1318.41 ,1319.79 ,46505937.00 ,11.69%,-0.12%
2024-07-18,1318.46 ,1327.02 ,1318.44 ,1324.76 ,43468318.00 ,73.66%,0.38%
2024-07-19,1321.30 ,1324.57 ,1317.14 ,1317.14 ,37796658.00 ,0.00%,-0.58%
2024-07-23,1318.81 ,1320.79 ,1300.04 ,1301.54 ,40319600.00 ,7.23%,-1.18%
2024-07-24,1299.64 ,1301.55 ,1293.95 ,1298.08 ,29547034.00 ,54.34%,-0.27%
2024-07-25,1289.98 ,1295.47 ,1288.83 ,1291.58 ,34106088.00 ,41.42%,-0.50%
2024-07-26,1292.64 ,1307.21 ,1290.48 ,1307.21 ,40148944.00 ,100.00%,1.21%
2024-07-30,1311.95 ,1315.23 ,1306.54 ,1308.09 ,45528241.00 ,17.84%,0.07%
2024-07-31,1312.69 ,1321.85 ,1311.93 ,1320.86 ,42648316.00 ,90.02%,0.98%
2024-08-01,1322.51 ,1329.46 ,1319.79 ,1322.75 ,36835898.00 ,30.61%,0.14%
2024-08-02,1315.07 ,1318.09 ,1310.58 ,1313.08 ,34650559.00 ,33.29%,-0.73%
2024-08-05,1295.65 ,1296.10 ,1273.17 ,1274.67 ,58520559.00 ,6.54%,-2.93%
2024-08-06,1285.62 ,1289.24 ,1274.01 ,1274.01 ,38230381.00 ,0.00%,-0.05%
2024-08-07,1282.05 ,1293.94 ,1282.05 ,1290.55 ,39823661.00 ,71.49%,1.30%
2024-08-08,1287.53 ,1298.99 ,1287.31 ,1296.25 ,36209651.00 ,76.54%,0.44%
2024-08-09,1305.88 ,1308.86 ,1292.97 ,1297.07 ,42932208.00 ,25.80%,0.06%
2024-08-13,1299.73 ,1300.83 ,1292.41 ,1299.79 ,40546337.00 ,87.65%,0.21%
2024-08-14,1300.59 ,1306.88 ,1280.99 ,1292.69 ,53352884.00 ,45.19%,-0.55%
2024-08-15,1291.89 ,1293.10 ,1279.34 ,1289.84 ,41309392.00 ,76.31%,-0.22%
2024-08-16,1295.95 ,1304.49 ,1295.39 ,1303.00 ,35651808.00 ,83.63%,1.02%
2024-08-19,1305.89 ,1323.38 ,1303.30 ,1323.38 ,62358599.00 ,100.00%,1.56%
2024-08-20,1327.25 ,1337.35 ,1323.94 ,1328.12 ,47980647.00 ,31.17%,0.36%
2024-08-21,1328.50 ,1339.61 ,1327.12 ,1337.83 ,41295225.00 ,85.75%,0.73%
