symbol,market,sector,pe,div,de,npm,roe
PEACE,SET,PROP,15.58,5.91,0.59,5.28,3.71
PG,SET,FASHION,146.21,2.23,0.15,9.24,0.4
PHG,SET,HELTH,15.77,3.35,0.19,14.15,15.27
PHOL,mai,INDUS,8.96,6.95,0.66,7.26,18.49
PIMO,mai,INDUS,9.56,2.86,0.28,5.98,10.64
PIN,SET,PROP,3.55,9.52,0.75,49.72,55.19
PJW,SET,PKG,12.31,5.19,1.58,2.9,8.5
PL,SET,FIN,13.75,6.88,3.01,0.79,2.21
PLANB,SET,MEDIA,30.12,1.05,0.66,11.57,11.07
PLT,mai,SERVICE,12.52,8.11,1.02,6.71,6.78
PLUS,SET,FOOD,23.55,2.79,0.24,4.88,9.28
PM,SET,FOOD,8.04,5.78,0.77,16.79,39.8
PMTA,SET,PETRO,5.42,4.71,0.47,4.64,9.6
POLY,SET,AUTO,15.77,4.42,0.17,22.21,20.12
PPM,mai,INDUS,4.41,3.82,0.87,1.95,13.35
PQS,SET,FOOD,5.55,3.43,0.22,10.46,13.9
PR9,SET,HELTH,29.45,1.15,0.18,16.63,13.57
PRAPAT,mai,INDUS,8.38,2.96,1.49,6.31,11.63
PREB,SET,CONS,9.61,9.22,1.51,1.54,5.49
PRG,SET,FOOD,14.94,3.36,0.26,28.41,4.49
PRI,mai,PROPCON,8.3,18.04,0.4,17.03,18.74
PRM,SET,TRANS,8.82,4.18,0.94,22.42,21.79
PRTR,SET,PROF,11.19,3.57,0.38,3.13,14.69
PSH,SET,PROP,20.49,11.71,0.55,6.72,2.02
PSL,SET,TRANS,7.45,3.57,0.46,19.21,8.84
PSP,SET,IMM,9.92,3.52,1.08,3.35,17.95
PT,SET,ICT,8.92,6.91,1.79,7.85,43.35
PTC,mai,RESOURC,9.5,5.21,0.02,31.66,7.06
PTG,SET,ENERG,10.18,4.32,4.4,0.14,15.42
PTL,SET,PKG,9.19,1.95,0.28,1.81,1.06
PTT,SET,ENERG,8.11,6.2,1.07,1.54,10.12
PTTEP,SET,ENERG,5.97,8.02,0.8,22.43,15.69
PYLON,SET,CONS,38.16,7.29,0.21,4.61,3.84
Q-CON,SET,CONMAT,5.76,11.11,0.17,15.8,24.66
QH,SET,PROP,8.19,8.57,0.53,23.85,8.09
QTC,SET,IMM,14.5,5.32,0.3,2.36,5.78
RAM,SET,HELTH,20.9,4,0.54,13.45,6.89
RATCH,SET,ENERG,11.52,5.12,1.09,18.96,5.98
RBF,SET,FOOD,24.86,2.69,0.17,10.05,10.97
RCL,SET,TRANS,4.39,2.68,0.33,36.98,11.36
READY,mai,TECH,16.74,3.03,0.71,20.41,18.17
RJH,SET,HELTH,11.3,5.81,0.72,26.47,25.47
ROCK,SET,HOME,6.91,4.85,1.17,5.08,7.84
ROCTEC,SET,ICT,29.87,1.23,0.53,12.8,4.8
ROJNA,SET,PROP,3.29,6.56,1.12,44.35,20.88
RPH,SET,HELTH,16.82,5.56,0.11,19.93,10.1
RS,SET,COMM,304.52,5.21,1.64,27.84,1.22
RSP,SET,COMM,13.58,6.88,0.38,9.99,6.06
S,SET,PROP,14.78,1.67,2.28,0.07,2.53
S&J,SET,PERSON,13.82,6.25,0.3,3.45,8.21
SA,SET,PROP,21.69,0.67,2.65,10.56,7.8
SAAM,mai,RESOURC,32.19,1.02,0.2,8.72,13.7
SABINA,SET,FASHION,15.11,6.58,0.48,12.5,26.62
SAFE,SET,HELTH,19.23,1.21,0.12,15.05,13.62
SAK,SET,FIN,12.19,3.15,1.47,26.35,13.95
SALEE,mai,INDUS,107.13,9.21,0.15,2.23,0.45
SAMTEL,SET,ICT,68.09,0.93,0.63,2.51,1.65
SANKO,mai,INDUS,5.41,3.39,0.82,9.94,25.17
SAPPE,SET,FOOD,16.77,3.25,0.34,18.64,31.35
SAT,SET,AUTO,6.29,15.38,0.23,8.17,8.68
SAUCE,SET,FOOD,18.49,4.5,0.09,19.49,25.87
SAV,SET,TRANS,30.14,3.95,0.38,28.71,24.57
SAWAD,SET,FIN,12.23,0.03,2.13,25.9,17.32
SC,SET,PROP,5.87,8.44,1.89,8.76,9.01
SCAP,SET,FIN,17.41,0.14,2.51,12.2,7.49
SCB,SET,BANK,9.03,8.91,6.05,20.48,9.16
SCC,SET,CONMAT,34.93,3.6,1.09,-0.37,1.57
SCCC,SET,CONMAT,13.14,4.35,0.98,8.07,11.21
SCG,SET,ENERG,294.33,1.44,1.49,-2.54,0.39
SCGD,SET,CONMAT,9.38,3.01,0.96,3.09,4.91
SCGP,SET,PKG,16.74,2.84,0.97,1.46,6.44
SCL,mai,INDUS,7.87,3.17,2.17,3.33,14.38
SCM,SET,COMM,37.48,4.1,0.21,7.17,9.77
SCP,SET,CONMAT,6.45,5.26,0.23,14.95,13.3
SE,SET,IMM,9.6,4.73,0.26,6.83,9.26
SEAFCO,SET,CONS,23.67,4.41,0.49,-3.38,4.09
SEAOIL,SET,ENERG,5.93,7.75,0.61,1.97,13.03
SECURE,mai,TECH,12.55,3.75,0.3,3.88,14.88
SELIC,SET,IMM,15.56,1.01,1.02,5.83,11.91
SENA,SET,PROP,7.46,10.46,1.46,14.38,5.36
SENX,mai,PROPCON,15.46,2.67,0.48,11.5,2.24
SFLEX,SET,PKG,8.62,3.33,1.04,15.6,24.03
SFT,mai,INDUS,57.9,1.5,0.54,-0.32,3.07
SGP,SET,ENERG,7.03,3.62,2.25,2.13,11.41
SHANG,SET,TOURISM,30.19,2.13,0.07,6.43,2.7
SHR,SET,TOURISM,174.07,0.61,1.3,-2.09,0.31
SICT,mai,TECH,17.3,0.89,0.36,0.51,16.07
SINO,SET,TRANS,17.98,1.52,0.56,2.72,6.27
SIRI,SET,PROP,5.67,11.01,2.14,13.06,11.5
SIS,SET,ICT,16.38,3.5,1.83,1.6,17.22
SISB,SET,PROF,32.88,1.04,0.67,35.6,29.74
SITHAI,SET,PKG,9.01,4.82,0.61,2.85,8.8
SJWD,SET,TRANS,15.92,2.38,0.85,4.13,5.32
SK,mai,PROPCON,4.62,8.77,0.34,20.23,14.53
SKN,SET,CONMAT,7.84,4,0.18,13.97,13.96
SKR,SET,HELTH,23.52,1.87,0.2,14.62,11.42
SM,SET,FIN,17.88,2.94,1.7,5.73,5.46
SMART,mai,PROPCON,7.54,12.16,0.16,15.37,15.96
SMD100,mai,CONSUMP,17.83,6.7,0.47,11.47,6
SMIT,SET,STEEL,16.55,6,0.11,9.34,5.09
SMPC,SET,PKG,8.92,4.54,0.35,8.22,20
SNNP,SET,FOOD,16.74,4.27,0.59,11.86,20.71
SNP,SET,FOOD,12.76,9.44,0.8,7.18,16.5
SO,SET,PROF,17.36,7.85,1.18,6.34,12.83
SONIC,mai,SERVICE,9.29,2.96,0.37,5.43,10.59
SORKON,SET,FOOD,11.97,4.72,1.27,3.59,8.75
SPA,SET,TOURISM,24.4,0.14,0.87,18.48,38.27
SPALI,SET,PROP,5.78,7.88,0.85,20.06,12.42
SPC,SET,COMM,6.81,3.42,0.34,4.2,10.68
SPCG,SET,ENERG,9.24,11.38,0.09,23.06,5.13
SPG,SET,AUTO,15.98,5.63,0.08,13.33,5.52
SPI,SET,COMM,9.44,1.32,0.39,62.04,7.75
SPVI,mai,TECH,13.2,8.15,0.98,0.34,9.64
SRS,mai,TECH,26.39,3.13,0.73,6.34,7.37
SSC,SET,FOOD,33.04,1.03,0.48,3.97,4.36
SSF,SET,FOOD,11.08,5.45,0.6,5.83,8.76
SSP,SET,ENERG,12.58,1.85,2.13,14.69,7.24
SSSC,SET,STEEL,6.87,10.88,0.25,5.3,5.94
STA,SET,AGRI,67.06,5.81,0.8,1.46,0.78
STANLY,SET,AUTO,10.56,9.17,0.13,12.09,8.73
STGT,SET,PERSON,72.29,5,0.28,-1.32,1.07
STI,SET,CONS,32.81,1.99,1.14,3.07,9.18
STP,mai,INDUS,7.93,3.04,0.25,21.43,20.51
SUC,SET,FASHION,6.14,4.8,0.09,17.86,6.65
SUN,SET,FOOD,7.85,7.6,0.59,15.32,27.88
SUSCO,SET,ENERG,12.61,13.99,1.23,0.75,5.04
SUTHA,SET,PETRO,12.08,2.9,1.1,2.94,8.09
